2015 rank,City,State,2015 estimate,2010 Census
141,Rancho Cucamonga,California,"175,236","165,269"
142,Cape Coral,Florida,"175,229","154,305"
143,Santa Rosa,California,"174,972","167,815"
144,Vancouver,Washington,"172,860","161,791"
145,Sioux Falls,South Dakota,"171,544","153,888"
146,Peoria,Arizona,"171,237","154,065"
147,Ontario,California,"171,214","163,924"
148,Jackson,Mississippi,"170,674","173,514"
149,Elk Grove,California,"166,913","153,015"
150,Springfield,Missouri,"166,810","159,498"
151,Pembroke Pines,Florida,"166,611","154,019"
152,Salem,Oregon,"164,549","154,637"
153,Corona,California,"164,226","152,374"
154,Eugene,Oregon,"163,460","156,185"
155,McKinney,Texas,"162,898","131,117"
156,Fort Collins,Colorado,"161,175","143,986"
157,Lancaster,California,"161,103","156,633"
158,Cary,North Carolina,"159,769","135,234"
159,Palmdale,California,"158,351","152,750"
160,Hayward,California,"158,289","144,186"
161,Salinas,California,"157,380","150,441"
162,Frisco,Texas,"154,407","116,989"
163,Springfield,Massachusetts,"154,341","153,060"
164,Pasadena,Texas,"153,784","149,043"
165,Macon,Georgia,"153,515","91,351"
166,Alexandria,Virginia,"153,511","139,966"
167,Pomona,California,"153,266","149,058"
168,Lakewood,Colorado,"152,597","142,980"
169,Sunnyvale,California,"151,754","140,081"
170,Escondido,California,"151,451","143,911"
171,Kansas City,Kansas,"151,306","145,786"
172,Hollywood,Florida,"149,728","140,768"
173,Clarksville,Tennessee,"149,176","132,929"
174,Torrance,California,"148,475","145,438"
175,Rockford,Illinois,"148,278","152,871"
176,Joliet,Illinois,"147,861","147,433"
177,Paterson,New Jersey,"147,754","146,199"
178,Bridgeport,Connecticut,"147,629","144,229"
179,Naperville,Illinois,"147,100","141,853"
180,Savannah,Georgia,"145,674","136,286"
181,Mesquite,Texas,"144,788","139,824"
182,Syracuse,New York,"144,142","145,170"
183,Pasadena,California,"142,250","137,122"
184,Orange,California,"140,992","136,416"
185,Fullerton,California,"140,847","135,161"
186,Killeen,Texas,"140,806","127,921"
187,Dayton,Ohio,"140,599","141,527"
188,McAllen,Texas,"140,269","129,877"
189,Bellevue,Washington,"139,820","122,363"
190,Miramar,Florida,"137,132","122,041"
191,Hampton,Virginia,"136,454","137,436"
192,West Valley City,Utah,"136,208","129,480"
193,Warren,Michigan,"135,358","134,056"
194,Olathe,Kansas,"134,305","125,872"
195,Columbia,South Carolina,"133,803","129,272"
196,Thornton,Colorado,"133,451","118,772"
197,Carrollton,Texas,"133,168","119,097"
198,Midland,Texas,"132,950","111,147"
199,Charleston,South Carolina,"132,609","120,083"
200,Waco,Texas,"132,356","124,805"
201,Sterling Heights,Michigan,"132,052","129,699"
202,Denton,Texas,"131,044","113,383"
203,Cedar Rapids,Iowa,"130,405","126,326"
204,New Haven,Connecticut,"130,322","129,779"
205,Roseville,California,"130,269","118,788"
206,Gainesville,Florida,"130,128","124,354"
207,Visalia,California,"130,104","124,442"
208,Coral Springs,Florida,"129,485","121,096"
209,Thousand Oaks,California,"129,339","126,683"
210,Elizabeth,New Jersey,"129,007","124,969"
211,Stamford,Connecticut,"128,874","122,643"
212,Concord,California,"128,667","122,067"
213,Surprise,Arizona,"128,422","117,517"
214,Lafayette,Louisiana,"127,657","120,623"
215,Topeka,Kansas,"127,265","127,473"
216,Kent,Washington,"126,952","92,411"
217,Simi Valley,California,"126,788","124,237"
218,Santa Clara,California,"126,215","116,468"
219,Murfreesboro,Tennessee,"126,118","108,755"
220,Hartford,Connecticut,"124,006","124,775"
221,Athens,Georgia,"122,604","115,452"
222,Victorville,California,"122,225","115,903"
223,Abilene,Texas,"121,721","117,063"
224,Vallejo,California,"121,253","115,942"
225,Berkeley,California,"120,972","112,580"
226,Norman,Oklahoma,"120,284","110,925"
227,Allentown,Pennsylvania,"120,207","118,032"
228,Evansville,Indiana,"119,943","117,429"
229,Columbia,Missouri,"119,108","108,500"
230,Odessa,Texas,"118,968","99,940"
231,Fargo,North Dakota,"118,523","105,549"
232,Beaumont,Texas,"118,129","118,296"
233,Independence,Missouri,"117,255","116,830"
234,Ann Arbor,Michigan,"117,070","113,934"
235,El Monte,California,"116,732","113,475"
236,Springfield,Illinois,"116,565","116,250"
237,Round Rock,Texas,"115,997","99,887"
238,Wilmington,North Carolina,"115,933","106,476"
239,Arvada,Colorado,"115,368","106,433"
240,Provo,Utah,"115,264","112,488"
241,Peoria,Illinois,"115,070","115,007"
242,Lansing,Michigan,"115,056","114,297"
243,Downey,California,"114,219","111,772"
244,Carlsbad,California,"113,453","105,328"
245,Costa Mesa,California,"113,204","109,960"
246,Miami Gardens,Florida,"113,187","107,167"
247,Westminster,Colorado,"113,130","106,114"
248,Clearwater,Florida,"113,003","107,685"
249,Fairfield,California,"112,970","105,321"
250,Rochester,Minnesota,"112,225","106,769"
251,Elgin,Illinois,"112,111","108,188"
252,Temecula,California,"112,011","100,097"
253,West Jordan,Utah,"111,946","103,712"
254,Inglewood,California,"111,666","109,673"
255,Richardson,Texas,"110,815","99,223"
256,Lowell,Massachusetts,"110,699","106,519"
257,Gresham,Oregon,"110,553","105,594"
258,Antioch,California,"110,542","102,372"
259,Cambridge,Massachusetts,"110,402","105,162"
260,High Point,North Carolina,"110,268","104,371"
261,Billings,Montana,"110,263","104,170"
262,Manchester,New Hampshire,"110,229","109,565"
263,Murrieta,California,"109,830","103,466"
264,Centennial,Colorado,"109,741","100,377"
265-(T),Richmond,California,"109,708","103,701"
265-(T),Ventura,California,"109,708","106,433"
